rating,title,credit,box_office,year
86,American Made,Barry Seal,51.1,2017
16,The Mummy,Nick Morton,80.1,2017
37,Jack Reacher: Never Go Back,Producer     Jack Reacher,58.7,2016
93,Mission: Impossible Rogue Nation,Producer     Ethan Hunt,155,2015
90,Live Die Repeat: Edge of Tomorrow,Major William Cage,77.2,2014
53,Oblivion,Jack Harper,89.1,2013
63,Jack Reacher,Jack Reacher     Producer,80.1,2012
42,Rock of Ages,Stacee Jaxx,38.6,2012
93,Mission: Impossible Ghost Protocol,Producer     Ethan Hunt,209.4,2011
52,Knight & Day,Roy Miller,76.5,2010
62,Valkyrie,Colonel Claus von Stauffenberg,83,2008
82,Tropic Thunder,Les Grossman,110.5,2008
27,Lions for Lambs,Senator Japser Irving,15,2007
71,Mission: Impossible III,Ethan Hunt     Producer,133.5,2006
29,Elizabethtown,Actor    Producer,26.9,2005
75,War of the Worlds,Producer     Ray Ferrier,234.2,2005
86,Collateral,Vincent,100.1,2004
66,The Last Samurai,Producer     Capt. Nathan Algren,111.1,2003
54,Austin Powers in Goldmember,Austin in Movie,213.1,2002
90,Minority Report,Det. John Anderton,132.1,2002
87,Space Station,Narrator,90.1,2002
